"'"	0.00030736035471113065
"''"	3.950012590665133e-05
"'0'"	8.640652542079979e-06
"'1'"	2.098444188790852e-05
"'1h92"	8.640652542079979e-06
"'2'"	1.4812547214994248e-05
"'24'"	1.4812547214994248e-05
"'4'"	1.4812547214994248e-05
"'53'"	1.4812547214994248e-05
"'5n"	2.3453199757074225e-05
"'87"	1.9750062953325664e-05
"'af"	8.640652542079979e-06
"'breaknewsdot'"	8.640652542079979e-06
"'breaknewslink'"	8.640652542079979e-06
"'http"	0.0003160010072532106
"'it"	7.406273607497124e-06
"'javascript"	7.406273607497124e-06
"'remove'"	9.875031476662832e-06
"'right'"	1.851568401874281e-05
"'s"	1.234378934582854e-05
"'square'"	9.875031476662832e-06
"'text"	3.4562610168319915e-05
"'verdana"	3.5796989102902766e-05
"0"	0.017436836829917396
"00"	0.0006739708982822383
"000"	0.0001580005036266053
"0000"	0.00023700075543990796
"000000"	0.002384820101614074
"0000015"	1.4812547214994248e-05
"000066"	7.406273607497124e-06
"000080"	7.406273607497124e-06
"000099"	9.875031476662832e-06
"0000ff"	9.38127990282969e-05
"000623"	2.715633656082279e-05
"000625"	2.715633656082279e-05
"000626"	2.715633656082279e-05
"000627"	2.839071549540564e-05
"000628"	2.715633656082279e-05
"001099"	1.1109410411245687e-05
"001104"	1.234378934582854e-05
"001105"	1.1109410411245687e-05
"001106"	1.1109410411245687e-05
"001629"	7.406273607497124e-06
"001630"	7.406273607497124e-06
"001826"	7.406273607497124e-06
"001829"	7.406273607497124e-06
"003366"	9.38127990282969e-05
"00339"	1.1109410411245687e-05
"003399"	3.703136803748562e-05
"006633"	1.234378934582854e-05
"007"	1.234378934582854e-05
"007c7a"	1.1109410411245687e-05
"008000"	2.468757869165708e-05
"008080"	3.2093852299154205e-05
"009933"	5.431267312164558e-05
"01"	0.00026662584986989645
"0100"	0.0003752511961131876
"0103867"	7.406273607497124e-06
"0104308"	7.406273607497124e-06
"0104348"	7.406273607497124e-06
"0105852"	9.875031476662832e-06
"0108660"	9.875031476662832e-06
"0112083"	1.234378934582854e-05
"01aol"	7.406273607497124e-06
"01glob"	7.406273607497124e-06
"01krug"	7.406273607497124e-06
"01stox"	7.406273607497124e-06
"02"	0.00022342258715949656
"0200"	3.8265746972068476e-05
"020709co"	7.406273607497124e-06
"020709fa"	7.406273607497124e-06
"021502_pointcamera"	1.6046926149577103e-05
"03"	0.0002172506924865823
"0300"	8.640652542079979e-06
"04"	0.00026662584986989645
"0400"	0.0002629227130661479
"05"	0.0001394848196078625
"0500"	0.00019132873486034236
"06"	0.00017651618764534811
"06060digidark"	8.640652542079979e-06
"06_28_02"	8.640652542079979e-06
"07"	0.00038142309078610187
"0700"	0.0003122978704494621
"08"	0.0002888446706923878
"0800"	2.839071549540564e-05
"08_22_02"	1.1109410411245687e-05
"09"	0.008560417911332092
"0966103254"	3.703136803748562e-05
"09document"	6.665646246747411e-05
"0a"	2.2218820822491373e-05
"0b"	2.3453199757074225e-05
"0c"	1.9750062953325664e-05
"0d"	0.0014331139430506935
"0dm"	7.406273607497124e-06
"0e"	1.4812547214994248e-05
"0f"	1.3578168280411395e-05
"0h"	1.9750062953325664e-05
"0i"	3.4562610168319915e-05
"0in"	6.912522033663983e-05
"0mm"	2.2218820822491373e-05
"0ni"	1.234378934582854e-05
"0ovfr"	7.406273607497124e-06
"0ovrr"	9.875031476662832e-06
"0pt"	3.8265746972068476e-05
"0px"	9.875031476662832e-06
"0t3vvat9yr"	1.4812547214994248e-05
"0v"	2.3453199757074225e-05
